Employee_ID,Age,Department,Job_Role,Monthly_Income,Years_At_Company,Job_Satisfaction,OverTime,Business_Travel,Performance_Rating,Attrition
10026,22,Human Resources,Developer,4869,15,1,No,Travel_Rarely,3,No
10027,32,Research & Development,HR Specialist,11497,16,3,Yes,Travel_Rarely,3,No
10028,27,Research & Development,Sales Executive,16492,10,2,Yes,Travel_Rarely,4,Yes
10029,41,Human Resources,Research Scientist,5674,1,1,Yes,Travel_Rarely,3,No
10030,56,Research & Development,Research Scientist,8485,23,3,No,Travel_Rarely,4,No
10031,58,Sales,HR Specialist,3382,22,4,No,Travel_Rarely,4,No
10032,47,Research & Development,Sales Executive,17899,4,2,No,Travel_Rarely,4,No
10033,33,Human Resources,Sales Executive,17070,15,4,Yes,Travel_Rarely,3,Yes
10034,51,Research & Development,Manager,11523,15,1,No,Travel_Rarely,4,No
10035,49,Sales,Developer,15900,1,4,No,Travel_Rarely,3,No
10036,48,Research & Development,Analyst,5671,15,4,No,Travel_Rarely,3,No
10037,40,Research & Development,Manager,12883,24,1,No,Rarely,3,No
10038,26,Human Resources,Analyst,4540,4,2,Yes,Travel_Rarely,4,No
10039,26,Research & Development,Sales Executive,15893,7,1,Yes,Travel_Rarely,3,No
10040,48,Research & Development,Research Scientist,9232,19,3,No,Travel_Rarely,3,No
10041,49,Research & Development,Manager,12286,13,1,No,Travel_Rarely,3,No
10042,47,Research & Development,HR Specialist,8872,24,1,Yes,Travel_Rarely,3,No
10043,48,Sales,HR Specialist,12318,9,2,Yes,Travel_Rarely,3,No
10044,42,Human Resources,Analyst,8485,22,3,No,Frequently,4,No
10045,22,Research & Development,Sales Executive,10062,1,4,No,Travel_Rarely,3,Yes
10046,49,Research & Development,Research Scientist,14276,2,4,Yes,Frequently,4,No
10047,36,Research & Development,Analyst,8400,17,4,No,Travel_Rarely,3,No
10048,38,Sales,Research Scientist,10465,20,4,No,Rarely,4,No
10049,47,Human Resources,Developer,7816,1,2,No,Rarely,3,No
10050,41,Research & Development,Research Scientist,10965,20,3,No,Travel_Rarely,3,No
10051,46,Research & Development,HR Specialist,3089,8,2,Yes,Travel_Rarely,3,No
10052,34,Sales,Manager,13392,1,1,No,Travel_Rarely,3,No
10053,54,Research & Development,Manager,11274,24,3,No,Rarely,4,No
10054,46,Research & Development,Manager,7563,6,3,No,Travel_Rarely,3,No
10055,29,Research & Development,Research Scientist,6133,6,4,No,Travel_Rarely,3,Yes
10056,26,Human Resources,HR Specialist,4490,13,4,No,Travel_Rarely,3,No
10057,27,Research & Development,Research Scientist,9015,4,4,No,Travel_Rarely,3,No
10058,44,Research & Development,Sales Executive,17939,7,4,No,Travel_Rarely,3,No
10059,51,Research & Development,HR Specialist,3758,22,1,Yes,Frequently,3,No
10060,35,Research & Development,HR Specialist,16098,21,4,Yes,Travel_Rarely,3,No
10061,44,Research & Development,Research Scientist,5366,17,2,No,Travel_Rarely,3,No
10062,32,Research & Development,Research Scientist,6238,5,3,No,Travel_Rarely,4,No
10063,52,Research & Development,Manager,3071,13,1,No,Travel_Rarely,3,No
10064,27,Research & Development,HR Specialist,11236,17,1,No,Travel_Rarely,3,Yes
10065,32,Research & Development,Manager,16248,16,3,No,Travel_Rarely,3,No
10066,34,Human Resources,Sales Executive,6722,8,3,No,Travel_Rarely,3,No
10067,33,Sales,Developer,15520,12,3,No,Frequently,4,No
10068,23,Sales,Manager,15204,15,1,No,Travel_Rarely,4,No
10069,56,Sales,Research Scientist,3137,20,2,No,Travel_Rarely,3,No
10070,57,Research & Development,Analyst,10732,9,2,No,Travel_Rarely,4,No
10071,38,Research & Development,Developer,7382,9,3,No,Travel_Rarely,3,No
10072,49,Sales,Sales Executive,6892,3,1,No,Travel_Rarely,3,No
10073,49,Research & Development,Research Scientist,12312,11,4,No,Travel_Rarely,3,No
10074,43,Research & Development,Developer,6172,7,1,Yes,Travel_Rarely,4,No
10075,59,Research & Development,Research Scientist,14829,14,3,Yes,Travel_Rarely,3,No
10076,28,Research & Development,Manager,17467,20,1,No,Travel_Rarely,3,No
10077,36,Research & Development,Research Scientist,14820,22,1,No,Frequently,3,No
10078,53,Research & Development,Sales Executive,11991,18,1,No,Travel_Rarely,3,No
10079,32,Sales,Analyst,17500,14,4,Yes,Frequently,4,No
10080,45,Sales,Manager,9757,7,3,No,Travel_Rarely,3,No
10081,24,Research & Development,Manager,7211,7,3,No,Travel_Rarely,3,No
10082,51,Research & Development,Sales Executive,15735,18,3,No,Travel_Rarely,3,No
10083,27,Research & Development,Sales Executive,8143,8,2,No,Rarely,3,Yes
10084,23,Sales,Developer,2659,23,2,No,Travel_Rarely,3,No
10085,35,Sales,Analyst,12644,16,3,No,Travel_Rarely,3,No
10086,39,Research & Development,Research Scientist,17293,7,1,Yes,Rarely,3,No
10087,52,Research & Development,Developer,12423,11,1,No,Travel_Rarely,3,No
10088,34,Research & Development,Research Scientist,13138,14,3,No,Travel_Rarely,3,No
10089,47,Research & Development,Research Scientist,8438,3,4,No,Travel_Rarely,3,No
10090,33,Research & Development,Research Scientist,16585,5,4,No,Travel_Rarely,3,No
10091,39,Research & Development,Developer,13854,15,1,No,Travel_Rarely,3,No
10092,30,Research & Development,Manager,12424,24,1,No,Travel_Rarely,3,No
10093,42,Sales,Sales Executive,3080,4,2,No,Frequently,3,No
10094,45,Research & Development,Manager,10911,22,4,Yes,Rarely,3,No
10095,55,Research & Development,Analyst,10086,12,1,Yes,Travel_Rarely,4,Yes
10096,29,Research & Development,Developer,6974,14,1,No,Travel_Rarely,3,No
10097,54,Research & Development,Analyst,12441,16,3,Yes,Frequently,4,No
10098,44,Research & Development,Sales Executive,9573,24,2,No,Frequently,4,No
10099,34,Sales,Sales Executive,12162,21,4,No,Travel_Rarely,3,No
10100,35,Sales,HR Specialist,7559,19,4,No,Travel_Rarely,3,No
10101,35,Sales,Analyst,15957,21,2,No,Travel_Rarely,3,No
10102,37,Sales,Manager,6828,4,1,No,Travel_Rarely,3,No
10103,59,Research & Development,Analyst,3894,18,4,No,Rarely,4,No
10104,47,Research & Development,Developer,3421,6,4,Yes,Travel_Rarely,3,No
10105,47,Sales,Sales Executive,17069,2,4,Yes,Travel_Rarely,3,No
10106,22,Human Resources,Sales Executive,5273,12,3,No,Travel_Rarely,3,No
10107,53,Research & Development,Analyst,6962,13,2,Yes,Travel_Rarely,4,Yes
10108,36,Research & Development,Analyst,7076,15,4,No,Travel_Rarely,3,No
10109,42,Research & Development,Research Scientist,16384,12,2,No,Frequently,3,No
10110,39,Research & Development,Analyst,5934,1,1,No,Rarely,3,No
10111,51,Sales,Research Scientist,9233,13,2,Yes,Travel_Rarely,3,No
10112,34,Human Resources,Developer,14274,19,3,No,Travel_Rarely,3,No
10113,45,Sales,Developer,11810,6,3,Yes,Travel_Rarely,3,No
10114,51,Human Resources,Manager,4365,4,2,No,Travel_Rarely,3,No
10115,23,Research & Development,Analyst,16822,13,3,Yes,Travel_Rarely,3,Yes
10116,40,Research & Development,Manager,15003,8,4,No,Frequently,3,No
10117,46,Research & Development,HR Specialist,3224,9,3,Yes,Travel_Rarely,3,Yes
10118,35,Research & Development,Developer,16627,6,1,Yes,Travel_Rarely,3,No
10119,27,Sales,Sales Executive,3211,13,2,No,Travel_Rarely,3,No
10120,33,Research & Development,Research Scientist,16675,24,2,Yes,Travel_Rarely,3,No
10121,41,Research & Development,HR Specialist,10210,13,1,No,Travel_Rarely,3,No
10122,44,Research & Development,Sales Executive,12517,24,1,Yes,Travel_Rarely,3,No
10123,51,Research & Development,HR Specialist,14618,1,1,No,Travel_Rarely,3,No
10124,51,Research & Development,Manager,7580,16,1,No,Travel_Rarely,3,No
10125,59,Research & Development,Manager,15946,19,4,No,Travel_Rarely,3,No
10126,51,Research & Development,Research Scientist,15894,3,3,No,Travel_Rarely,3,No
10127,51,Research & Development,Developer,2890,12,3,No,Travel_Rarely,3,No
10128,57,Human Resources,Research Scientist,11762,17,4,Yes,Travel_Rarely,3,Yes
10129,55,Research & Development,Sales Executive,6987,2,1,Yes,Travel_Rarely,3,No
10130,37,Research & Development,HR Specialist,13457,18,2,No,Travel_Rarely,4,No
10131,45,Research & Development,Research Scientist,15172,4,2,No,Travel_Rarely,3,No
10132,35,Research & Development,Analyst,13120,0,2,No,Travel_Rarely,3,No
10133,47,Research & Development,Analyst,17936,8,1,No,Travel_Rarely,4,No
10134,29,Sales,Developer,16070,23,4,No,Travel_Rarely,3,No
10135,35,Research & Development,Research Scientist,10616,7,4,Yes,Rarely,4,Yes
10136,52,Research & Development,Sales Executive,9247,2,4,No,Travel_Rarely,3,No
10137,23,Human Resources,Analyst,15721,1,3,No,Travel_Rarely,3,No
10138,25,Sales,Developer,8566,0,3,No,Travel_Rarely,3,No
10139,22,Research & Development,Research Scientist,6994,11,3,No,Travel_Rarely,3,No
10140,41,Sales,Developer,12839,21,3,No,Travel_Rarely,3,No
10141,35,Research & Development,Sales Executive,6072,12,2,No,Rarely,3,No
10142,46,Human Resources,Analyst,15170,9,2,No,Travel_Rarely,3,No
10143,46,Research & Development,Analyst,13446,16,4,Yes,Frequently,4,No
10144,24,Human Resources,Analyst,13955,10,3,Yes,Rarely,3,Yes
10145,26,Sales,Manager,14517,4,4,No,Travel_Rarely,3,No
10146,59,Sales,Analyst,10269,24,1,No,Travel_Rarely,3,No
10147,47,Research & Development,HR Specialist,14108,8,3,Yes,Travel_Rarely,3,No
10148,59,Research & Development,Manager,12749,12,3,No,Travel_Rarely,3,No
10149,59,Research & Development,Research Scientist,4811,19,4,No,Travel_Rarely,3,No
10150,25,Research & Development,Manager,13571,22,4,Yes,Travel_Rarely,3,No
10151,28,Research & Development,Manager,9273,10,1,No,Travel_Rarely,3,No
10152,51,Sales,Manager,9405,22,4,No,Frequently,4,No
10153,51,Human Resources,Developer,6142,3,3,No,Rarely,3,No
10154,40,Research & Development,HR Specialist,8838,20,2,No,Travel_Rarely,3,No
10155,56,Research & Development,Sales Executive,5109,10,1,No,Rarely,3,No
10156,54,Research & Development,Analyst,12122,8,1,No,Travel_Rarely,3,Yes
10157,54,Research & Development,Manager,12605,6,3,Yes,Travel_Rarely,3,No
10158,35,Research & Development,Sales Executive,8740,15,2,No,Frequently,3,No
10159,59,Sales,Developer,17297,22,4,No,Travel_Rarely,4,No
10160,31,Research & Development,Sales Executive,10306,22,4,No,Frequently,3,No
10161,49,Research & Development,Manager,3257,24,2,Yes,Travel_Rarely,3,No
10162,35,Research & Development,Research Scientist,12826,4,2,Yes,Travel_Rarely,3,No
10163,57,Research & Development,HR Specialist,7586,5,3,No,Travel_Rarely,3,No
10164,59,Research & Development,Sales Executive,8720,18,4,No,Frequently,3,No
10165,37,Research & Development,Manager,12604,0,3,No,Travel_Rarely,3,No
10166,42,Research & Development,Manager,12431,15,4,No,Frequently,3,No
10167,49,Research & Development,Analyst,8102,17,4,No,Travel_Rarely,3,No
10168,54,Research & Development,Research Scientist,13909,23,2,No,Travel_Rarely,3,No
10169,27,Sales,Analyst,15448,12,3,No,Travel_Rarely,3,No
10170,36,Sales,Research Scientist,16816,0,2,No,Travel_Rarely,3,Yes
10171,24,Research & Development,HR Specialist,11826,9,3,No,Travel_Rarely,3,Yes
10172,56,Sales,Analyst,8621,6,4,Yes,Rarely,3,No
10173,35,Research & Development,HR Specialist,14404,4,1,Yes,Travel_Rarely,3,No
10174,23,Research & Development,Developer,11456,12,1,No,Travel_Rarely,3,No
10175,50,Research & Development,Developer,5225,21,3,No,Rarely,3,No
10176,25,Research & Development,Research Scientist,5868,15,3,No,Travel_Rarely,3,No
10177,47,Sales,Research Scientist,5997,23,2,No,Travel_Rarely,4,Yes
10178,33,Research & Development,Analyst,10674,19,4,No,Travel_Rarely,3,No
10179,23,Research & Development,Developer,12364,21,1,No,Travel_Rarely,4,No
10180,38,Human Resources,Sales Executive,17626,13,2,No,Travel_Rarely,3,No
10181,56,Human Resources,Sales Executive,14097,10,3,Yes,Travel_Rarely,3,Yes
10182,31,Sales,Sales Executive,8142,18,4,No,Travel_Rarely,3,No
10183,43,Research & Development,Developer,11274,22,2,No,Travel_Rarely,3,No
10184,42,Research & Development,Sales Executive,7266,1,2,No,Travel_Rarely,4,No
10185,36,Research & Development,HR Specialist,16539,7,3,No,Travel_Rarely,3,No
10186,56,Research & Development,Manager,7133,12,4,Yes,Travel_Rarely,3,No
10187,42,Research & Development,Research Scientist,4321,6,1,No,Travel_Rarely,3,No
10188,42,Research & Development,Analyst,3685,11,2,No,Travel_Rarely,3,No
10189,42,Research & Development,HR Specialist,15217,7,3,No,Travel_Rarely,3,No
10190,53,Human Resources,Sales Executive,4137,15,2,No,Travel_Rarely,3,No
10191,26,Research & Development,Manager,9736,17,3,No,Travel_Rarely,3,No
10192,30,Research & Development,Analyst,12872,18,3,No,Frequently,4,No
10193,39,Sales,HR Specialist,10880,3,3,Yes,Travel_Rarely,3,No
10194,42,Sales,Analyst,4246,24,4,No,Travel_Rarely,3,No
10195,29,Research & Development,Research Scientist,14518,11,1,No,Travel_Rarely,3,No
10196,55,Research & Development,Developer,8297,15,4,No,Travel_Rarely,4,No
10197,31,Research & Development,Sales Executive,10589,20,1,No,Frequently,3,No
10198,45,Research & Development,HR Specialist,5120,21,3,No,Travel_Rarely,3,No
10199,45,Human Resources,HR Specialist,14637,16,1,No,Travel_Rarely,4,No
10200,53,Human Resources,Manager,13018,3,4,Yes,Travel_Rarely,3,No
10201,54,Sales,Manager,10097,19,2,No,Travel_Rarely,3,No
10202,59,Sales,Manager,16436,23,4,Yes,Rarely,3,No
10203,55,Research & Development,Analyst,17377,23,4,Yes,Travel_Rarely,4,No
10204,32,Research & Development,Sales Executive,10502,21,4,No,Travel_Rarely,4,No
10205,52,Human Resources,Analyst,8607,23,4,Yes,Travel_Rarely,3,No
10206,39,Sales,Sales Executive,11876,8,4,No,Travel_Rarely,3,No
10207,44,Sales,HR Specialist,5293,4,1,No,Travel_Rarely,3,No
10208,43,Human Resources,Analyst,13638,16,1,No,Travel_Rarely,3,No
10209,39,Research & Development,Analyst,5000,16,2,No,Travel_Rarely,4,No
10210,41,Human Resources,Analyst,17724,1,4,No,Travel_Rarely,4,No
10211,34,Research & Development,Developer,15638,1,4,No,Travel_Rarely,3,No
10212,22,Research & Development,Research Scientist,10861,20,2,No,Travel_Rarely,3,No
10213,25,Sales,Sales Executive,7425,22,2,Yes,Travel_Rarely,3,No
10214,45,Sales,Sales Executive,13437,6,3,No,Travel_Rarely,3,No
10215,57,Research & Development,Analyst,3580,3,2,No,Travel_Rarely,3,No
10216,57,Research & Development,Developer,11955,12,2,No,Travel_Rarely,3,No
10217,23,Sales,Analyst,7364,19,2,No,Travel_Rarely,3,No
10218,49,Human Resources,Sales Executive,6953,10,3,No,Travel_Rarely,3,No
10219,47,Sales,Research Scientist,4748,2,1,No,Travel_Rarely,3,Yes
10220,44,Research & Development,Research Scientist,17279,1,3,No,Travel_Rarely,4,No
10221,36,Research & Development,HR Specialist,14600,15,1,No,Travel_Rarely,4,No
10222,57,Research & Development,Developer,17662,2,2,No,Travel_Rarely,3,No
10223,48,Sales,Research Scientist,3825,23,3,No,Travel_Rarely,3,No
10224,27,Research & Development,Developer,13869,14,3,Yes,Travel_Rarely,3,No
10225,56,Sales,Analyst,6373,16,1,No,Travel_Rarely,4,No
10226,59,Research & Development,HR Specialist,12840,15,3,No,Rarely,3,No
10227,56,Research & Development,Sales Executive,15908,19,3,Yes,Travel_Rarely,3,No
10228,57,Sales,Research Scientist,4188,6,4,No,Travel_Rarely,3,No
10229,31,Research & Development,Research Scientist,5485,15,1,No,Travel_Rarely,4,No
10230,51,Research & Development,Manager,4576,4,3,No,Frequently,3,No
10231,59,Human Resources,Sales Executive,12221,1,3,Yes,Rarely,3,No
10232,50,Sales,Research Scientist,17500,0,2,No,Travel_Rarely,3,No
10233,25,Sales,Research Scientist,3961,21,4,No,Frequently,4,No
10234,26,Sales,Sales Executive,12094,12,4,No,Travel_Rarely,3,Yes
10235,25,Sales,HR Specialist,2572,15,2,No,Travel_Rarely,3,No
10236,57,Human Resources,Developer,15041,4,2,No,Travel_Rarely,3,Yes
10237,37,Research & Development,Sales Executive,14726,2,2,No,Frequently,3,No
10238,46,Research & Development,Developer,8530,14,2,No,Travel_Rarely,3,No
10239,35,Human Resources,HR Specialist,7111,15,4,Yes,Travel_Rarely,3,No
10240,32,Research & Development,HR Specialist,5296,10,3,Yes,Travel_Rarely,3,No
10241,50,Research & Development,Analyst,10217,24,3,Yes,Travel_Rarely,4,No
10242,55,Research & Development,Manager,15831,18,2,No,Travel_Rarely,3,No
10243,43,Research & Development,HR Specialist,16436,17,1,No,Rarely,3,No
10244,35,Research & Development,HR Specialist,17370,20,2,No,Travel_Rarely,3,No
10245,45,Sales,Developer,7016,8,3,No,Travel_Rarely,3,No
10246,47,Research & Development,HR Specialist,4993,7,1,No,Travel_Rarely,4,Yes
10247,57,Sales,Sales Executive,15666,21,2,No,Travel_Rarely,3,No
10248,37,Sales,Analyst,6731,18,1,Yes,Travel_Rarely,3,No
10249,59,Research & Development,Analyst,6076,21,2,Yes,Frequently,3,No
10250,53,Research & Development,Sales Executive,10600,4,4,No,Travel_Rarely,3,No
10251,27,Research & Development,Research Scientist,16112,16,3,No,Travel_Rarely,3,Yes
10252,55,Research & Development,HR Specialist,8228,4,2,No,Travel_Rarely,3,No
10253,29,Research & Development,Manager,2532,13,1,No,Travel_Rarely,4,No
10254,51,Sales,HR Specialist,13386,6,3,No,Travel_Rarely,3,No
10255,48,Research & Development,Analyst,16578,8,2,No,Travel_Rarely,3,No
10256,28,Research & Development,Manager,6873,16,2,No,Travel_Rarely,3,No
10257,48,Sales,Research Scientist,16968,2,2,Yes,Rarely,4,Yes
10258,46,Research & Development,Developer,15537,7,2,No,Travel_Rarely,3,No
10259,36,Research & Development,Developer,6098,21,4,No,Travel_Rarely,3,No
10260,46,Sales,HR Specialist,16961,12,3,No,Travel_Rarely,3,No
10261,43,Sales,HR Specialist,4892,15,4,Yes,Rarely,4,Yes
10262,39,Human Resources,Manager,14804,20,3,No,Travel_Rarely,3,No
10263,33,Sales,Manager,13563,9,2,No,Travel_Rarely,3,No
10264,44,Research & Development,Research Scientist,9205,17,3,No,Travel_Rarely,3,No
10265,46,Research & Development,HR Specialist,9290,2,1,Yes,Travel_Rarely,4,No
10266,31,Research & Development,Analyst,5177,11,3,Yes,Travel_Rarely,3,No
10267,51,Sales,Developer,3901,15,1,No,Travel_Rarely,4,No
10268,31,Research & Development,Research Scientist,3317,17,1,No,Travel_Rarely,3,No
10269,55,Research & Development,Manager,8703,16,4,Yes,Travel_Rarely,3,No
10270,34,Research & Development,Analyst,12352,6,3,No,Frequently,3,No
10271,50,Human Resources,HR Specialist,7062,18,2,Yes,Travel_Rarely,3,No
10272,59,Research & Development,Sales Executive,7223,22,3,No,Frequently,3,No
10273,30,Research & Development,Manager,4938,22,4,No,Travel_Rarely,3,No
10274,34,Research & Development,Research Scientist,13675,7,1,No,Travel_Rarely,3,No
10275,58,Research & Development,Sales Executive,9328,16,1,No,Frequently,3,No
10276,35,Human Resources,Analyst,3710,20,4,No,Travel_Rarely,3,Yes
10277,58,Research & Development,Developer,9141,24,4,No,Travel_Rarely,3,No
10278,30,Research & Development,Analyst,3099,6,3,No,Travel_Rarely,4,No
10279,29,Research & Development,Developer,16526,0,1,No,Rarely,3,No
10280,24,Research & Development,Analyst,7980,7,4,No,Travel_Rarely,3,No
10281,54,Human Resources,Manager,4346,18,3,No,Travel_Rarely,3,No
10282,53,Sales,Manager,12547,19,3,Yes,Rarely,3,No
10283,28,Sales,Research Scientist,9092,19,2,Yes,Rarely,3,No
10284,40,Human Resources,Sales Executive,10361,9,1,No,Travel_Rarely,4,No
10285,55,Sales,Analyst,4387,11,3,No,Frequently,4,No
10286,35,Human Resources,Analyst,3179,23,4,Yes,Rarely,3,No
10287,40,Research & Development,Sales Executive,5752,0,1,No,Travel_Rarely,3,No
10288,47,Sales,HR Specialist,4335,23,4,No,Travel_Rarely,3,No
10289,38,Research & Development,Research Scientist,14722,24,4,No,Frequently,3,No
10290,49,Research & Development,Analyst,4677,24,3,Yes,Travel_Rarely,3,No
10291,40,Research & Development,Research Scientist,10642,20,3,No,Travel_Rarely,3,No
10292,48,Human Resources,Analyst,2648,3,2,No,Frequently,3,Yes
10293,40,Research & Development,Analyst,3995,3,4,No,Travel_Rarely,3,No
10294,54,Research & Development,HR Specialist,15605,8,3,No,Rarely,3,No
10295,28,Sales,Manager,4244,14,2,No,Rarely,3,No
10296,50,Human Resources,Research Scientist,4146,23,1,No,Travel_Rarely,3,No
10297,26,Research & Development,Sales Executive,5495,14,2,No,Frequently,3,No
10298,51,Sales,Research Scientist,9143,6,2,No,Rarely,3,No
10299,29,Research & Development,HR Specialist,12364,11,4,No,Travel_Rarely,4,No
10300,33,Research & Development,Developer,16166,2,1,No,Travel_Rarely,4,No
10301,34,Research & Development,Developer,12631,19,4,Yes,Travel_Rarely,3,No
10302,47,Research & Development,HR Specialist,9878,8,4,No,Travel_Rarely,3,No
10303,39,Research & Development,HR Specialist,11349,13,2,Yes,Travel_Rarely,3,No
10304,41,Research & Development,Manager,6167,12,2,Yes,Travel_Rarely,3,No
10305,37,Human Resources,Research Scientist,11745,23,3,No,Travel_Rarely,3,No
10306,58,Human Resources,Research Scientist,14763,11,2,No,Travel_Rarely,3,No
10307,24,Research & Development,Developer,3076,0,3,No,Travel_Rarely,3,No
10308,48,Research & Development,Sales Executive,13787,18,4,No,Frequently,3,No
10309,36,Human Resources,Research Scientist,13723,15,2,No,Travel_Rarely,4,No
10310,55,Sales,Analyst,15510,11,1,Yes,Travel_Rarely,3,No
10311,43,Sales,Analyst,17057,9,1,Yes,Travel_Rarely,3,No
10312,44,Research & Development,Manager,17437,1,4,Yes,Travel_Rarely,3,No
10313,25,Sales,Manager,16429,17,4,No,Travel_Rarely,3,No
10314,44,Sales,Developer,7279,12,2,Yes,Travel_Rarely,3,No
10315,30,Sales,Sales Executive,10687,23,3,No,Travel_Rarely,3,Yes
10316,45,Research & Development,Sales Executive,15529,5,2,No,Travel_Rarely,3,No
10317,42,Sales,HR Specialist,5472,11,3,Yes,Travel_Rarely,4,No
10318,37,Research & Development,Manager,10256,21,2,Yes,Travel_Rarely,3,Yes
10319,46,Human Resources,Research Scientist,17415,3,1,No,Travel_Rarely,4,No
10320,47,Research & Development,Analyst,6448,0,1,No,Travel_Rarely,3,No
10321,30,Research & Development,Research Scientist,9044,10,3,No,Frequently,3,No
10322,36,Sales,Analyst,4545,22,2,No,Travel_Rarely,3,No
10323,54,Research & Development,Developer,14628,7,4,No,Travel_Rarely,3,No
10324,22,Research & Development,Analyst,13640,1,3,No,Travel_Rarely,3,No
10325,26,Research & Development,Research Scientist,4127,1,1,No,Travel_Rarely,3,No
10326,30,Sales,Research Scientist,17347,15,3,No,Travel_Rarely,3,No
10327,27,Research & Development,Sales Executive,16923,0,2,No,Rarely,3,No
10328,49,Research & Development,Sales Executive,3988,3,4,No,Travel_Rarely,3,No
10329,47,Research & Development,Manager,14837,5,4,No,Travel_Rarely,3,No
10330,49,Research & Development,Research Scientist,14890,20,3,No,Travel_Rarely,3,No
10331,36,Research & Development,Developer,15155,19,2,Yes,Travel_Rarely,3,No
10332,27,Research & Development,Analyst,11627,13,2,No,Travel_Rarely,3,No
10333,48,Research & Development,Manager,6063,19,4,No,Travel_Rarely,3,No
10334,59,Sales,HR Specialist,14321,14,1,No,Travel_Rarely,3,No
10335,25,Research & Development,HR Specialist,12406,6,2,Yes,Travel_Rarely,3,Yes
10336,32,Human Resources,Analyst,4302,6,4,No,Frequently,3,No
10337,42,Research & Development,Analyst,12112,17,4,Yes,Travel_Rarely,3,No
10338,51,Research & Development,Analyst,6091,22,2,Yes,Travel_Rarely,3,Yes
10339,39,Research & Development,Sales Executive,6020,1,2,No,Travel_Rarely,3,No
10340,56,Research & Development,Analyst,8396,19,3,No,Rarely,3,Yes
10341,24,Human Resources,HR Specialist,10143,14,1,No,Travel_Rarely,3,No
10342,33,Research & Development,Analyst,9541,0,3,No,Travel_Rarely,3,No
10343,48,Research & Development,Research Scientist,17744,20,3,No,Travel_Rarely,3,No
10344,51,Sales,Developer,5811,16,4,No,Travel_Rarely,3,Yes
10345,42,Research & Development,HR Specialist,4805,19,4,No,Travel_Rarely,4,No
10346,59,Research & Development,Developer,10375,24,1,Yes,Travel_Rarely,3,No
10347,42,Human Resources,HR Specialist,12687,12,3,No,Travel_Rarely,3,No
10348,59,Research & Development,Manager,4467,11,3,No,Travel_Rarely,3,No
10349,36,Research & Development,Research Scientist,10509,23,4,No,Travel_Rarely,3,No
10350,39,Research & Development,HR Specialist,14406,21,4,No,Travel_Rarely,3,No
10351,50,Research & Development,Research Scientist,14727,14,2,No,Frequently,3,No
10352,59,Research & Development,HR Specialist,15177,23,3,Yes,Travel_Rarely,3,No
10353,42,Sales,Developer,7962,4,1,No,Travel_Rarely,3,No
10354,38,Research & Development,Developer,15560,6,3,Yes,Travel_Rarely,4,Yes
10355,39,Research & Development,HR Specialist,9397,7,4,Yes,Frequently,3,No
10356,58,Research & Development,HR Specialist,5958,22,2,No,Rarely,3,No
10357,59,Sales,Sales Executive,11085,13,3,No,Travel_Rarely,3,Yes
10358,33,Research & Development,Research Scientist,7278,3,1,Yes,Travel_Rarely,4,Yes
10359,32,Research & Development,Research Scientist,6230,20,4,No,Travel_Rarely,3,No
10360,41,Human Resources,Research Scientist,6865,13,2,No,Travel_Rarely,4,No
10361,30,Sales,Research Scientist,14936,9,3,No,Travel_Rarely,3,No
10362,22,Research & Development,Manager,10047,21,1,No,Travel_Rarely,3,No
10363,24,Sales,Manager,15598,15,4,No,Travel_Rarely,3,No
